CompteurTemps	Temps	Cx0	Cy0	
462	4.149	-1.3853	-3.87759	
463	4.158	-1.38207	-3.88256	
464	4.167	-1.37923	-3.88745	
465	4.176	-1.37646	-3.89226	
466	4.185	-1.39071	-3.89595	
467	4.194	-1.37135	-3.90193	
468	4.203	-1.36807	-3.90614	
469	4.212	-1.36528	-3.91064	
470	4.221	-1.36253	-3.91515	
471	4.23	-1.39385	-3.89282	
472	4.239	-1.35786	-3.92356	
473	4.248	-1.35439	-3.92829	
474	4.257	-1.35154	-3.93272	
475	4.266	-1.34876	-3.9371	
476	4.275	-1.33955	-3.93853	
477	4.284	-1.34258	-3.94469	
478	4.293	-1.34013	-3.94899	
479	4.302	-1.33742	-3.9532	
480	4.311	-1.33469	-3.95735	
481	4.32	-1.33253	-3.96163	
482	4.329	-1.32938	-3.96545	
483	4.338	-1.32659	-3.96939	
484	4.347	-1.32376	-3.9733	
485	4.356	-1.32094	-3.97717	
486	4.365	-1.34644	-3.97581	
487	4.374	-1.31438	-3.98398	
488	4.383	-1.31139	-3.9878	
489	4.392	-1.3087	-3.99148	
490	4.401	-1.306	-3.99512	
491	4.41	-1.29806	-3.99647	
492	4.419	-1.30034	-4.00168	
493	4.428	-1.29761	-4.00516	
494	4.437	-1.29481	-4.00868	
495	4.446	-1.29201	-4.01217	
496	4.455	-1.2913	-4.01588	
497	4.464	-1.28551	-4.01725	
498	4.473	-1.28269	-4.02065	
499	4.482	-1.27988	-4.02406	
500	4.491	-1.27705	-4.02744	
501	4.5	-1.28341	-4.04671	
502	4.509	-1.27049	-4.03352	
503	4.518	-1.26743	-4.03663	
504	4.527	-1.26462	-4.03996	
505	4.536	-1.26179	-4.04324	
506	4.545	-1.28431	-4.04179	
507	4.554	-1.25553	-4.04761	
508	4.563	-1.25235	-4.0509	
509	4.572	-1.24945	-4.05411	
510	4.581	-1.24656	-4.05723	
511	4.59	-1.26682	-4.06649	
512	4.599	-1.23913	-4.06176	
513	4.608	-1.2361	-4.06503	
514	4.617	-1.23327	-4.0682	
515	4.626	-1.23042	-4.07127	
516	4.635	-1.26174	-4.06934	
517	4.644	-1.2248	-4.07681	
518	4.653	-1.22154	-4.07982	
519	4.662	-1.21859	-4.08268	
520	4.671	-1.21568	-4.08549	
521	4.68	-1.23491	-4.10778	
522	4.689	-1.21004	-4.09162	
523	4.698	-1.20687	-4.09407	
524	4.707	-1.20393	-4.09667	
525	4.716	-1.20098	-4.09924	
526	4.725	-1.1802	-4.09893	
527	4.734	-1.19402	-4.10261	
528	4.743	-1.19111	-4.10537	
529	4.752	-1.18802	-4.10799	
530	4.761	-1.18501	-4.11052	
531	4.77	-1.18849	-4.11672	
532	4.779	-1.17977	-4.11412	
533	4.788	-1.17666	-4.11639	
534	4.797	-1.17358	-4.11868	
535	4.806	-1.17051	-4.12093	
536	4.815	-1.18482	-4.12317	
537	4.824	-1.16474	-4.12568	
538	4.833	-1.16124	-4.1279	
539	4.842	-1.15817	-4.13003	
540	4.851	-1.15514	-4.13212	
541	4.86	-1.14723	-4.15603	
542	4.869	-1.14821	-4.13493	
543	4.878	-1.14546	-4.13699	
544	4.887	-1.14244	-4.13903	
545	4.896	-1.13938	-4.14098	
546	4.905	-1.16118	-4.16534	
547	4.914	-1.1322	-4.14486	
548	4.923	-1.12894	-4.14652	
549	4.932	-1.12609	-4.14859	
550	4.941	-1.1232	-4.15059	
551	4.95	-1.11926	-4.15184	
552	4.959	-1.11769	-4.15428	
553	4.968	-1.11459	-4.156	
554	4.977	-1.11154	-4.1577	
555	4.986	-1.10848	-4.15937	
556	4.995	-1.11411	-4.1541	
557	5.004	-1.10264	-4.16277	
558	5.013	-1.09945	-4.16436	
559	5.022	-1.09638	-4.16589	
560	5.031	-1.0933	-4.16738	
561	5.04	-1.09778	-4.17097	
562	5.049	-1.08737	-4.17021	
563	5.058	-1.08416	-4.17161	
564	5.067	-1.08107	-4.17301	
565	5.076	-1.078	-4.17438	
